Round,Location,Hard Mode,Zerg Ultralisk,Terran Firebat,Protoss Reaver,Infested Kerrigan (Infested Terran),Edmund Duke (Tank Mode),Tassadar (Templar),Hunter Killer (Hydralisk),Torrasque (Ultralisk),Zeratul (Dark Templar),Tom Kazansky (Wraith),Jim Raynor (Marine),Fenix (Dragoon),Zerg Zergling,Alexei Stukov (Ghost),Artanis (Scout),Zerg Devourer,Fenix (Zealot),Yggdrasill (Overlord),Alan Schezar (Goliath),Kukulza (Guardian),Norad II (Battlecruiser),Dark Templar (Hero),Sarah Kerrigan (Ghost),Danimoth (Arbiter),Protoss Observer,Kukulza (Mutalisk),Gantrithor (Carrier)
1,spawner,,4,3,,,,,,,,,,,,,,,,,,,,,,,,,
1,spawner,option 1,2,,,,,,,,,,,,,,,,,,,,,,,,,,
1,spawner,option 2,,,2,,,,,,,,,,,,,,,,,,,,,,,,
1,spawner,option 3,,,,2,,,,,,,,,,,,,,,,,,,,,,,
1,spawner,option 4,,,,,2,,,,,,,,,,,,,,,,,,,,,,
2,spawner,,4,3,,,,,,,,,,,,,,,,,,,,,,,,,
2,spawner,option 1,2,,,,,,,,,,,,,,,,,,,,,,,,,,
2,spawner,option 2,,,2,,,,,,,,,,,,,,,,,,,,,,,,
2,spawner,option 3,,,,2,,,,,,,,,,,,,,,,,,,,,,,
2,spawner,option 4,,,,,2,,,,,,,,,,,,,,,,,,,,,,
3,spawner,,4,3,,,,,,,,,,,,,,,,,,,,,,,,,
3,spawner,option 1,2,,,,,,,,,,,,,,,,,,,,,,,,,,
3,spawner,option 2,,,2,,,,,,,,,,,,,,,,,,,,,,,,
3,spawner,option 3,,,,2,,,,,,,,,,,,,,,,,,,,,,,
3,spawner,option 4,,,,,2,,,,,,,,,,,,,,,,,,,,,,
4,spawner,,4,3,,,,,,,,,,,,,,,,,,,,,,,,,
4,spawner,option 1,2,,,,,,,,,,,,,,,,,,,,,,,,,,
4,spawner,option 2,,,2,,,,,,,,,,,,,,,,,,,,,,,,
4,spawner,option 3,,,,2,,,,,,,,,,,,,,,,,,,,,,,
4,spawner,option 4,,,,,2,,,,,,,,,,,,,,,,,,,,,,
5,spawner,,4,3,,,,,,,,,,,,,,,,,,,,,,,,,
5,spawner,option 1,2,,,,,,,,,,,,,,,,,,,,,,,,,,
5,spawner,option 2,,,2,,,,,,,,,,,,,,,,,,,,,,,,
5,spawner,option 3,,,,2,,,,,,,,,,,,,,,,,,,,,,,
5,spawner,option 4,,,,,2,,,,,,,,,,,,,,,,,,,,,,
6,spawner,,4,3,2,,,,,,,,,,,,,,,,,,,,,,,,
6,spawner,option 1,,,2,,,,,,,,,,,,,,,,,,,,,,,,
6,spawner,option 2,,,,2,,,,,,,,,,,,,,,,,,,,,,,
6,spawner,option 3,,,,,2,,,,,,,,,,,,,,,,,,,,,,
6,spawner,option 4,,,,,,2,,,,,,,,,,,,,,,,,,,,,
7,spawner,,4,3,2,,,,,,,,,,,,,,,,,,,,,,,,
7,spawner,option 1,,,2,,,,,,,,,,,,,,,,,,,,,,,,
7,spawner,option 2,,,,2,,,,,,,,,,,,,,,,,,,,,,,
7,spawner,option 3,,,,,2,,,,,,,,,,,,,,,,,,,,,,
7,spawner,option 4,,,,,,2,,,,,,,,,,,,,,,,,,,,,
8,spawner,,4,3,2,,,,,,,,,,,,,,,,,,,,,,,,
8,spawner,option 1,,,2,,,,,,,,,,,,,,,,,,,,,,,,
8,spawner,option 2,,,,2,,,,,,,,,,,,,,,,,,,,,,,
8,spawner,option 3,,,,,2,,,,,,,,,,,,,,,,,,,,,,
8,spawner,option 4,,,,,,2,,,,,,,,,,,,,,,,,,,,,
9,spawner,,4,3,2,,,,,,,,,,,,,,,,,,,,,,,,
9,spawner,option 1,,,2,,,,,,,,,,,,,,,,,,,,,,,,
9,spawner,option 2,,,,2,,,,,,,,,,,,,,,,,,,,,,,
9,spawner,option 3,,,,,2,,,,,,,,,,,,,,,,,,,,,,
9,spawner,option 4,,,,,,2,,,,,,,,,,,,,,,,,,,,,
10,spawner,,4,3,2,,,,,,,,,,,,,,,,,,,,,,,,
10,spawner,option 1,,,2,,,,,,,,,,,,,,,,,,,,,,,,
10,spawner,option 2,,,,2,,,,,,,,,,,,,,,,,,,,,,,
10,spawner,option 3,,,,,2,,,,,,,,,,,,,,,,,,,,,,
10,spawner,option 4,,,,,,2,,,,,,,,,,,,,,,,,,,,,
11,spawner,,3,1,1,1,,,,,,,,,,,,,,,,,,,,,,,
11,spawner2,,3,1,1,1,,,,,,,,,,,,,,,,,,,,,,,
11,spawner,option 1,,,,2,,,,,,,,,,,,,,,,,,,,,,,
11,spawner,option 2,,,,,2,,,,,,,,,,,,,,,,,,,,,,
11,spawner,option 3,,,,,,2,,,,,,,,,,,,,,,,,,,,,
11,spawner,option 4,,,,,,,2,,,,,,,,,,,,,,,,,,,,
12,spawner,,3,1,1,1,,,,,,,,,,,,,,,,,,,,,,,
12,spawner2,,3,1,1,1,,,,,,,,,,,,,,,,,,,,,,,
12,spawner,option 1,,,,2,,,,,,,,,,,,,,,,,,,,,,,
12,spawner,option 2,,,,,2,,,,,,,,,,,,,,,,,,,,,,
12,spawner,option 3,,,,,,2,,,,,,,,,,,,,,,,,,,,,
12,spawner,option 4,,,,,,,2,,,,,,,,,,,,,,,,,,,,
